iter	Passed	Remaining
0	53	53505
1	54	27047
2	54	18245
3	55	13810
4	56	11161
5	56	9383
6	57	8101
7	57	7142
8	58	6399
9	58	5810
10	59	5322
11	59	4916
12	60	4570
13	60	4276
14	61	4020
15	61	3799
16	62	3601
17	62	3429
18	63	3275
19	63	3133
20	64	3005
21	65	2892
22	65	2784
23	66	2690
24	66	2601
25	67	2517
26	67	2440
27	68	2369
28	68	2303
29	69	2240
30	69	2182
31	70	2127
32	70	2077
33	71	2028
34	71	1974
35	72	1933
36	72	1887
37	73	1848
38	73	1805
39	73	1769
40	74	1736
41	74	1705
42	75	1674
43	75	1645
44	76	1618
45	76	1594
46	77	1569
47	77	1545
48	78	1522
49	78	1500
50	79	1478
51	79	1455
52	80	1436
53	80	1417
54	81	1400
55	81	1381
56	82	1365
57	83	1349
58	83	1333
59	84	1317
60	84	1302
61	85	1286
62	85	1272
63	86	1257
64	86	1244
65	87	1231
66	87	1219
67	88	1207
68	88	1196
69	89	1184
70	89	1173
71	90	1162
72	90	1152
73	91	1141
74	91	1129
75	92	1120
76	92	1110
77	93	1101
78	93	1091
79	94	1082
80	94	1073
81	95	1064
82	95	1056
83	96	1048
84	96	1042
85	97	1031
86	97	1023
87	98	1018
88	98	1010
89	99	1003
90	99	997
91	100	989
92	100	983
93	101	976
94	101	970
95	102	964
96	102	958
97	103	952
98	104	946
99	104	941
100	105	935
101	105	929
102	106	924
103	106	919
104	107	914
105	107	909
106	108	904
107	108	899
108	109	895
109	110	892
110	110	888
111	111	884
112	112	880
113	112	875
114	113	871
115	113	867
116	114	863
117	115	859
118	115	855
119	116	852
120	116	848
121	117	844
122	117	840
123	118	837
124	119	834
125	119	830
126	120	827
127	121	824
128	121	821
129	122	818
130	122	814
131	123	810
132	123	807
133	124	803
134	124	800
135	125	797
136	126	794
137	126	790
138	127	788
139	127	786
140	128	783
141	129	780
142	129	778
143	130	775
144	130	772
145	131	769
146	132	767
147	132	764
148	133	762
149	133	758
150	134	755
151	135	753
152	135	750
153	136	747
154	136	744
155	137	742
156	137	739
157	138	737
158	139	735
159	139	734
160	140	732
161	141	730
162	141	727
163	142	725
164	142	722
165	143	719
166	143	717
167	144	715
168	145	713
169	145	711
170	146	709
171	146	707
172	147	704
173	148	702
174	148	701
175	149	699
176	149	697
177	150	695
178	151	693
179	151	690
180	152	688
181	152	686
182	153	685
183	153	682
184	154	681
185	155	678
186	155	677
187	156	675
188	156	673
189	157	671
190	158	669
191	158	667
192	159	666
193	160	665
194	160	664
195	161	663
196	162	662
197	163	662
198	164	660
199	164	658
200	165	657
201	166	656
202	166	655
203	167	654
204	168	653
205	169	652
206	169	650
207	170	650
208	171	650
209	172	649
210	173	647
211	174	646
212	174	645
213	175	644
214	175	642
215	176	640
216	177	639
217	177	638
218	178	636
219	179	635
220	179	634
221	180	633
222	181	631
223	182	631
224	182	629
225	183	628
226	184	627
227	185	627
228	185	625
229	186	624
230	187	623
231	187	621
232	188	620
233	189	618
234	189	617
235	190	616
236	190	614
237	191	613
238	192	612
239	192	611
240	193	609
241	194	608
242	194	606
243	195	605
244	196	604
245	196	602
246	197	601
247	197	599
248	198	597
249	198	595
250	199	594
251	199	592
252	200	591
253	200	589
254	201	587
255	201	586
256	202	585
257	202	583
258	203	581
259	203	580
260	204	578
261	204	576
262	205	575
263	205	573
264	206	572
265	206	570
266	207	569
267	208	568
268	208	567
269	209	565
270	209	564
271	210	563
272	210	561
273	211	560
274	211	558
275	212	556
276	212	555
277	213	554
278	213	552
279	214	551
280	215	550
281	215	548
282	216	547
283	216	545
284	216	544
285	217	543
286	217	541
287	218	539
288	218	538
289	219	537
290	219	535
291	220	534
292	221	533
293	221	532
294	222	531
295	222	529
296	223	528
297	223	527
298	224	525
299	224	524
300	225	523
301	225	521
302	226	520
303	226	519
304	227	518
305	227	516
306	228	515
307	229	514
308	229	513
309	230	512
310	230	511
311	231	509
312	231	508
313	232	507
314	232	505
315	233	504
316	233	503
317	233	501
318	234	500
319	235	499
320	235	498
321	236	497
322	236	496
323	237	495
324	237	494
325	238	492
326	238	491
327	239	490
328	239	488
329	240	487
330	240	486
331	241	485
332	241	484
333	242	483
334	242	482
335	243	481
336	243	480
337	244	479
338	245	477
339	245	476
340	246	475
341	246	474
342	247	473
343	247	472
344	248	471
345	248	469
346	248	468
347	249	467
348	250	466
349	250	465
350	251	464
351	251	463
352	252	462
353	252	461
354	253	460
355	253	458
356	254	457
357	254	456
358	255	455
359	255	454
360	256	453
361	256	452
362	257	451
363	257	450
364	258	449
365	258	448
366	259	447
367	260	446
368	260	445
369	261	445
370	261	444
371	262	443
372	262	441
373	263	440
374	263	439
375	264	438
376	264	437
377	265	436
378	265	435
379	265	433
380	266	432
381	266	431
382	267	430
383	267	429
384	268	428
385	268	427
386	268	425
387	269	424
388	269	423
389	270	422
390	270	421
391	270	420
392	271	419
393	271	417
394	272	416
395	272	415
396	273	414
397	273	413
398	273	412
399	274	411
400	274	410
401	275	409
402	275	408
403	276	407
404	276	406
405	276	405
406	277	404
407	277	402
408	278	401
409	278	400
410	278	399
411	279	398
412	279	397
413	280	396
414	280	395
415	280	394
416	281	393
417	281	392
418	282	391
419	282	390
420	283	389
421	283	388
422	283	387
423	284	386
424	284	385
425	285	384
426	285	382
427	285	382
428	286	381
429	286	380
430	287	379
431	287	378
432	287	377
433	288	376
434	288	375
435	289	374
436	289	373
437	290	372
438	290	370
439	290	370
440	291	369
441	291	368
442	292	367
443	292	366
444	292	365
445	293	364
446	293	363
447	294	362
448	294	361
449	294	360
450	295	359
451	295	358
452	296	357
453	296	356
454	296	355
455	297	354
456	297	353
457	298	352
458	298	351
459	298	350
460	299	349
461	299	349
462	300	348
463	300	347
464	300	346
465	301	345
466	301	344
467	302	343
468	302	342
469	302	341
470	303	340
471	303	339
472	304	338
473	304	338
474	305	337
475	305	336
476	305	335
477	306	334
478	306	333
479	307	332
480	307	331
481	307	330
482	308	329
483	308	329
484	309	328
485	309	327
486	309	326
487	310	325
488	310	324
489	311	323
